country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,LU,10.0,100.0,0.9,1146.052563982069,446.74403104239263,True,5421914.626636927,326280877.68629485,155399.63499999885,463948715.22425634,320858963.05965793,463793315.58925635,True,True
uk,London,LU,10.0,300.0,0.9,1146.052563982069,446.74403104239263,True,13131733.231655024,356072333.78316414,643715.2712339064,405354282.68172896,342940600.55150914,404710567.41049504,True,True
uk,London,LU,10.0,500.0,0.9,1146.052563982069,446.74403104239263,True,15982354.85502236,372982293.39522535,0.0,200663698.39386123,356999938.540203,200663698.39386123,True,True
uk,London,LU,10.0,100.0,1.0,1342.9024554789614,446.74403104239263,True,5421914.626636927,393406734.12497026,155399.63499999885,548594168.5679202,387984819.49833333,548438768.9329202,True,True
uk,London,LU,10.0,300.0,1.0,1342.9024554789614,446.74403104239263,True,13131733.231655024,424685006.00448436,643715.2712339064,481535190.6910265,411553272.77282935,480891475.4197926,True,True
uk,London,LU,10.0,500.0,1.0,1342.9024554789614,446.74403104239263,True,15982354.85502236,442917258.50364214,0.0,249280544.72131285,426934903.6486198,249280544.72131285,True,True
uk,London,LU-soft,10.0,100.0,0.5,595.1511614649123,556.5551330710423,True,6231823.777885925,151689105.4111037,788696.9699999989,229669848.2878813,145457281.63321778,228881151.31788132,True,True
uk,London,LU-soft,10.0,300.0,0.5,595.1511614649123,556.5551330710423,True,15653155.8765716,174362740.33640972,0.0,127059109.92052214,158709584.45983812,127059109.92052214,True,True
uk,London,LU-soft,10.0,500.0,0.5,595.1511614649123,556.5551330710423,True,19410159.820997678,185604264.88641718,0.0,37727635.83059259,166194105.0654195,37727635.83059259,True,True
uk,London,LU-soft,10.0,100.0,0.8,746.2287368770478,556.5551330710423,True,6231823.777885925,198890048.30170238,788696.9699999989,294633205.71509963,192658224.52381647,293844508.7450996,True,True
uk,London,LU-soft,10.0,300.0,0.8,746.2287368770478,556.5551330710423,True,15653155.8765716,223431982.67695314,0.0,166037124.37685314,207778826.80038154,166037124.37685314,True,True
uk,London,LU-soft,10.0,500.0,0.8,746.2287368770478,556.5551330710423,True,19410159.820997678,235860679.34564582,0.0,50720307.31603624,216450519.52464813,50720307.31603624,True,True
uk,London,LU-soft,10.0,100.0,0.9,789.3630541104086,556.5551330710423,True,6231823.777885925,212741725.23767766,788696.9699999989,313180962.12544477,206509901.45979175,312392265.15544474,True,True
