signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
prox,42,TLG2,fold4,0,TLG21,2344,1979,0.8442832764505119,701.2924804966053,True,1120.2672641254394,243.21883946289975,0.2171078699267123,1.1133482580305554e-08,0,0,1e-08
prox,42,TLG2,fold4,1,TLG22,25775,25239,0.9792046556741029,927.7116188043709,True,2535.274378593401,337.6289567636647,0.13317255111101037,2.915243046963667e-10,3854,3854,1e-08
prox,42,TLG2,fold4,2,TLG23,772,381,0.49352331606217614,666.7654019018751,True,1247.3893404018615,0.3383670445014801,0.00027126016997425283,1.4671549024569686e-06,0,0,1e-08
prox,42,TLG2,fold4,3,TLG24,21357,19702,0.9225078428618252,2584.4020630024106,True,12033.705007261005,7135.993831524262,0.5930005619398582,1.3211045590821868e-08,0,0,1e-08
ntl,42,TLE4,fold2,0,TLE41,9092,7003,0.770237571491421,5459.990249112507,True,3992.617132732145,118.1407188664174,0.02958979409718001,3.4828684380983077e-10,4343,4343,1e-08
ntl,42,TLE4,fold2,1,TLE42,13690,10014,0.7314828341855368,10541.812396413789,True,8849.331670083084,157.2313526964681,0.017767596306512024,1.2077301832225109e-11,1642,1642,1e-08
ntl,42,TLE4,fold2,2,TLE44,19016,16210,0.8524400504838031,6251.9992169274965,True,6709.795741677041,197.46990411091213,0.029430091721623204,3.5323716174318065e-11,9029,9029,1e-08
ntl,42,TLE4,fold2,3,TLE45,8324,6272,0.7534839019702066,5385.175840697708,True,4116.322923689284,75.52378777679377,0.018347391392001148,1.8757576047967461e-10,698,698,1e-08
prox,42,TLE4,fold2,0,TLE41,9092,7003,0.770237571491421,5646.225066155624,True,4104.63559518248,118.1407188664174,0.028782267299215684,3.4828684380983077e-10,4343,4343,1e-08
prox,42,TLE4,fold2,1,TLE42,13690,10014,0.7314828341855368,10176.465067354531,True,9195.179306058884,157.2313526964681,0.01709932427232444,1.2077301832225109e-11,1642,1642,1e-08
prox,42,TLE4,fold2,2,TLE44,19016,16210,0.8524400504838031,7288.152434006175,True,6934.78709451425,197.46990411091213,0.028475265558926863,3.5323716174318065e-11,9029,9029,1e-08
prox,42,TLE4,fold2,3,TLE45,8324,6272,0.7534839019702066,4940.298568195744,True,4339.675952982698,75.52378777679377,0.017403093824294783,1.8757576047967461e-10,698,698,1e-08
ntl,42,TLH1,fold4,0,TLH11,1383,1172,0.8474331164135936,536.2692432854845,True,432.46799800075166,18.860553258810924,0.043611442571475874,5.7917084461678314e-08,0,0,1e-08
